id,code,claimed
220,FFD7N9,0
221,70C42S,0
222,HEO83L,0
223,7GMXQN,0
224,WG18S8,0
225,7LIL93,0
226,3X6HO9,0
227,65MI7R,0
228,D25IT6,0
229,73W0T4,0
230,9XP6I6,0
231,1K18WD,0
232,U2EA0O,0
233,E0HDIJ,0
234,HVO6IH,0
235,XWQRNO,0
236,1EDYQK,0
237,9W4MDQ,0
238,U75YY2,0
239,MSZDRU,0
240,66GSJ1,0
241,2BJHTN,0
242,0P5FA4,0
243,S41JYC,0
244,JGS3KG,0
245,FKNQJG,0
246,72Y75G,0
247,JF7X5P,0
248,6P84DP,0
249,R92XJ7,0
250,RNPDEZ,0
251,7QKBQN,0
252,QAZ1TS,0
253,WDB04Y,0
254,1MO39A,0
255,BRXBW9,0
256,XPBGEF,0
257,PSX3SZ,0
258,BA9UZQ,0
259,J837YJ,0
260,0EF3F1,0
261,03O5R9,0
262,ZQVWCS,0
263,38ZT9L,0
264,GAV5BA,0
265,V7DZFF,0
266,Z4CB5G,0
267,O3Z1DY,0
268,6TTUOA,0
269,DDCE61,0
270,P6474E,0
271,JZB6FJ,0
272,SME013,0
273,2QM5PT,0
274,4MVLGG,0
275,NT6IFW,0
276,7CQ45N,0
277,MOYYY5,0
278,A915ZQ,0
279,G3UMCX,0
280,ZKQE0Q,0
281,PK658R,0
282,VOO08V,0
283,14S74I,0
284,M3ODK0,0
285,XGP1US,0
286,DRCCF0,0
287,LYZQOF,0
288,5XMZTZ,0
289,63YQP5,0
290,OKZRPE,0
291,7FZO96,0
292,D1USJ8,0
293,MR7VO4,0
294,7X9AWK,0
295,F4KTBI,0
296,9UC90H,0
297,CSJS2H,0
298,HLE0KM,0
299,87X143,0
